#set div cal c14 c14sig calsig*
124 5 32561.5 28470 130 80
124 5 32826.6 28580 121 87
124 5 33072.4 28710 130 88
124 5 33072.4 28770 139 86
124 5 33318.3 29110 139 87
124 5 33318.3 29070 130 86
124 5 33589.2 29000 121 82
124 5 33917.4 29050 130 89
124 5 34219.8 29460 130 95
124 5 34510.3 30090 139 93
124 5 34805.1 30620 149 97
124 5 35100.1 30900 158 100
124 5 35395.9 30900 196 90
124 5 35610.8 30980 206 84
124 5 35855.8 31210 158 82
124 5 36140.8 31350 158 77
124 5 36140.8 31620 187 79
124 5 36420.3 32160 168 76
124 5 36420.3 32190 196 75
124 5 36627.9 32210 177 72
124 5 36772.3 32400 177 68
124 5 36898.9 32410 177 66
124 5 37011.8 32690 187 70
124 5 37179.2 32790 187 75
124 5 37410.0 33300 226 79
124 5 37410.0 32710 196 78
124 5 37574.9 33190 187 80
124 5 37684.5 33390 196 79
124 5 37878.9 33310 196 79
124 5 38127.1 33530 206 84
124 5 38369.1 33380 255 88
124 5 38369.1 33600 216 87
124 5 38603.0 33630 255 84
124 5 38800.6 33630 206 79
124 5 38957.8 33800 206 77
124 5 39142.9 33900 216 80
124 5 39379.8 34140 226 81
124 5 39666.0 34220 226 90
124 5 39926.9 34540 226 89
124 5 40033.0 35000 245 83
124 5 40517.1 34950 275 93
124 5 40654.2 35040 304 94
124 5 40864.6 35440 294 102
124 5 41067.5 35780 294 98
124 5 41364.5 36590 334 94
124 5 41728.9 36700 304 96
124 5 41728.9 36740 334 96
124 5 42049.8 37520 363 98
124 5 42389.3 39080 463 82
124 5 42678.0 39220 453 65
124 5 42678.0 39260 453 63
124 5 42911.8 39940 493 57
124 5 43148.2 40330 522 54
124 5 43148.2 40190 502 54
124 5 43339.8 40680 532 60
124 5 43658.3 40240 423 78
124 5 43658.3 39900 522 77
124 5 43658.3 40610 572 78
124 5 44027.9 41260 572 88
124 5 44322.9 41750 602 86
124 5 44643.6 42150 642 77
124 5 44960.0 41920 622 64
124 5 44960.0 42740 702 64
124 5 45241.8 42560 672 56
124 5 45440.1 43480 752 49
124 5 45594.3 42770 742 47
124 5 45594.3 43420 632 47
124 5 45594.3 42030 642 47
124 5 45764.3 42840 702 46
124 5 45902.2 43860 652 43
124 5 45902.2 42220 662 44
124 5 45902.2 43510 822 43
124 5 46050.6 44470 841 46
124 5 46050.6 43260 742 46
124 5 46222.5 44180 812 49
124 5 46406.7 44610 861 49
124 5 46406.7 44100 812 51
124 5 46606.2 44430 841 50
124 5 46761.4 44170 812 45
124 5 46909.6 45720 981 42
124 5 47084.9 44790 871 49
124 5 47280.6 45070 921 63
124 5 47548.2 44670 712 77
124 5 47867.3 45250 772 92
124 5 47867.3 44330 692 90
124 5 48128.3 46360 871 99
124 5 48365.0 45580 812 103
124 5 48365.0 46010 841 102
124 5 48625.7 46280 851 107
124 5 48625.7 45040 981 107
124 5 48625.7 46480 891 107
124 5 48915.6 46930 931 108
124 5 49216.1 47060 951 111
124 5 49525.9 46750 941 118
124 5 49525.9 46470 891 116
124 5 49799.5 46530 881 114
124 5 49799.5 46520 891 116
124 5 50022.8 46320 871 110
124 5 50022.8 47530 1001 111
124 5 50293.8 46200 851 113
124 5 50293.8 47730 1001 112
124 5 50293.8 47980 1401 112
124 5 50293.8 48730 1201 112
124 5 50556.5 48030 1101 118
124 5 50556.5 48130 1401 118
124 5 50556.5 45840 822 116
124 5 50854.0 47040 951 123
124 5 50854.0 48630 1201 121
124 5 50854.0 47930 1101 121
124 5 51126.2 47530 1301 121
124 5 51126.2 48430 1501 120
124 5 51371.8 49930 1401 119
124 5 51371.8 47040 951 118
124 5 51668.3 47400 991 117
124 5 51668.3 48730 1201 117
124 5 51944.1 49130 1201 114
124 5 51944.1 48630 1101 113
124 5 52185.3 49130 1201 104
124 5 52446.8 49430 1301 96
124 5 52446.8 50430 1401 96
124 5 52654.7 49130 1201 91
124 5 52861.5 49530 1301 84
124 5 53071.4 50830 1501 78
124 5 53071.4 49830 1301 79
124 5 53262.2 51930 1701 79
124 5 53475.6 49230 1201 85
124 5 53687.1 49930 1401 99
124 5 53687.1 50030 1401 99
124 5 53970.1 49630 1301 122
124 6 35642.3 31369 197 52
124 6 35642.3 31319 121 52
124 6 35799.0 31489 140 57
124 6 35974.4 31989 140 110
124 6 36506.4 32499 140 120
124 6 36991.8 32489 140 87
124 6 36991.8 32779 140 49
124 6 37081.4 32899 149 45
124 6 37081.4 32669 177 46
124 6 37200.5 32709 140 47
124 6 37200.5 32939 140 48
124 6 37348.8 33009 140 45
124 6 37459.0 32919 187 45
124 6 37558.5 32959 158 45
124 6 37663.9 33419 255 46
124 6 37663.9 33349 168 46
124 6 37767.8 33229 245 44
124 6 37767.8 33399 158 44
124 6 37845.3 33239 158 41
124 6 37895.1 33399 149 42
124 6 37895.1 33339 149 43
124 6 38012.3 33319 149 49
124 6 38159.1 33489 149 47
124 6 38248.9 33319 158 46
124 6 38326.9 33609 149 44
124 6 38447.3 33419 149 50
124 6 38740.0 33249 149 66
124 6 38740.0 33489 168 66
124 6 39014.8 33599 168 78
124 6 39202.7 33709 158 80
124 6 39314.8 34009 158 79
124 6 39461.0 34189 177 90
124 6 39706.9 34329 168 108
124 6 39966.0 34809 177 105
124 6 40217.1 35169 304 85
124 6 40217.1 35169 168 82
124 6 40461.8 35409 314 64
124 6 40461.8 35209 304 62
124 6 40461.8 35429 187 62
124 6 40660.8 35449 177 48
124 6 40660.8 35579 187 48
124 6 40783.0 35689 197 48
124 6 40936.9 35819 187 49
124 6 41080.3 35919 197 45
124 6 41202.3 36189 187 43
124 6 41315.6 36249 197 38
124 6 41382.1 36559 206 37
124 6 41472.0 36589 197 37
124 6 41472.0 36469 197 37
124 6 41569.1 36559 354 38
124 6 41569.1 36849 206 40
124 6 41706.2 36549 364 48
124 6 41706.2 36819 206 51
124 6 41905.9 36849 245 64
124 6 42176.6 37519 265 73
124 6 42412.1 38469 294 55
124 6 42539.9 38869 304 46
124 6 42539.9 39169 314 44
124 6 42657.7 39069 304 41
124 6 42746.9 39439 324 38
124 6 42824.6 39259 314 38
124 6 42824.6 39159 344 38
124 6 42932.2 40219 354 37
124 6 43033.6 40059 354 38
124 6 43144.2 39749 344 40
124 6 43273.2 40279 364 41
124 6 43400.3 39939 532 43
124 6 43400.3 40499 592 43
124 6 43400.3 40369 304 43
124 6 43526.7 40729 582 42
124 6 43526.7 40839 314 43
124 6 43641.3 39909 354 42
124 6 43641.3 40659 483 43
124 6 43757.5 40049 354 45
124 6 43757.5 40909 443 45
124 6 43757.5 41379 532 45
124 6 43898.6 40899 403 48
124 6 44078.4 41149 403 50
124 6 44238.6 41429 433 41
124 6 44332.7 40789 314 38
124 6 44413.1 41199 403 37
124 6 44487.4 41349 403 37
124 6 44575.3 42279 453 40
124 6 44575.3 41949 364 41
124 6 44716.5 42219 453 44
124 6 44843.8 42559 473 44
124 6 44993.7 42409 373 44
124 6 44993.7 42789 752 45
124 6 45139.6 42609 732 43
124 6 45139.6 43309 802 41
124 6 45139.6 43089 413 41
124 6 45244.9 43179 662 36
124 6 45244.9 43469 433 36
124 6 45244.9 41539 433 37
124 6 45327.2 42829 493 35
124 6 45395.3 42589 473 37
124 6 45485.3 43699 542 38
124 6 45579.6 43289 433 38
124 6 45579.6 43179 513 38
124 6 45672.9 43779 542 38
124 6 45774.9 43439 522 38
124 6 45872.1 42509 473 36
124 6 45872.1 43819 712 36
124 6 45952.4 43509 542 36
124 6 46061.4 43869 562 37
124 6 46180.2 44149 572 34
124 6 46273.5 44259 572 35
124 6 46273.5 43929 453 35
124 6 46380.5 44279 901 32
124 6 46380.5 44469 483 32
124 6 46453.4 44179 891 30
124 6 46453.4 44519 493 29
124 6 46508.9 43619 522 27
124 6 46558.1 44289 562 27
124 6 46609.3 44189 562 28
124 6 46663.3 44099 562 29
124 6 46663.3 44449 582 29
124 6 46715.2 44179 562 31
124 6 46784.3 44189 562 33
124 6 46874.4 44219 582 36
124 6 46966.7 44879 612 40
124 6 46966.7 45289 642 41
124 6 47149.9 44339 572 58
124 6 47336.9 45049 622 62
124 6 47541.2 45449 652 89
124 6 47876.3 45409 652 106
124 6 48134.3 46619 1201 103
124 6 48411.8 46729 622 87
124 6 48411.8 46119 1101 89
124 6 48708.5 47039 792 66
124 6 48896.1 46859 772 61
124 6 49057.3 47379 822 61
124 6 49273.0 47529 842 58
124 6 49449.9 46319 1001 55
124 6 49449.9 47319 1101 56
124 6 49618.2 47019 1001 71
124 6 49618.2 47219 1301 70
124 6 49800.6 48219 1501 85
124 6 49800.6 47319 1101 83
124 6 49945.8 49019 1601 87
124 6 49945.8 46919 1001 87
124 6 50126.9 48319 1201 95
124 6 50126.9 49019 1601 95
124 6 50287.0 49219 1601 105
124 6 50287.0 48919 1301 104
124 6 50416.6 47319 1301 115
124 6 50609.0 48819 1601 124
124 6 50609.0 49219 1601 124
124 6 50789.9 49119 1601 136
124 6 50789.9 48819 1301 136
124 6 50970.8 48619 1301 145
124 6 50970.8 49619 1701 145
125 1 14235.0 12291 328 100
125 1 14273.0 12385 331 64
125 1 14413.0 12501 332 68
125 1 14519.0 12439 330 72
125 1 14557.0 12462 331 75
125 1 14577.0 12685 343 77
125 1 14581.0 12568 345 78
125 1 14590.0 12436 364 79
125 1 14601.0 12475 332 78
125 1 14614.0 12183 343 78
125 1 14632.0 12440 344 78
125 1 14646.0 12881 363 79
125 1 14713.0 12540 334 81
125 1 14767.0 12923 328 83
125 1 14829.0 12810 334 90
125 1 14878.0 12988 334 99
125 1 14890.0 12508 334 102
125 1 15015.0 12504 334 129
125 1 15046.0 12176 335 136
125 1 15058.0 12645 328 139
125 1 15108.0 12711 333 150
125 2 28005.0 23508 344 125
125 2 28170.0 24050 353 103
125 2 28326.0 24680 358 95
125 2 28750.0 24704 343 117
125 2 28966.0 24560 342 131
125 2 29100.0 25078 345 129
125 2 29279.0 25285 346 129
125 2 29577.0 25337 346 146
125 2 29738.0 25443 355 150
125 2 29982.0 24977 372 152
125 2 30049.0 25027 352 153
125 2 30128.0 26286 352 154
125 2 30228.0 26286 352 159
125 2 30285.0 26406 352 166
125 2 30372.0 27097 402 183
125 2 30410.0 27229 386 190
125 2 30590.0 27162 371 218
125 2 30776.0 27569 391 235
125 2 31037.0 27397 360 243
125 2 31342.0 27852 352 232
125 2 31521.0 28035 365 216
125 2 31928.0 28035 353 173
125 2 32099.0 27439 349 167
125 2 32311.0 27466 373 179
125 2 32517.0 27998 353 182
125 2 32655.0 28029 364 179
125 2 32903.0 28412 369 171
125 2 33005.0 28412 356 168
125 2 33264.0 28450 369 162
125 2 33307.0 28335 385 161
125 2 33616.0 28528 387 156
125 2 33813.0 29708 367 155
125 2 33889.0 30127 372 156
125 2 33962.0 29985 370 156
125 2 34067.0 29181 420 157
125 2 34285.0 29754 368 160
125 2 34779.0 29353 380 166
125 2 34902.0 30419 420 162
125 2 34921.0 30519 376 160
125 2 34978.0 30931 381 152
125 2 35011.0 30879 402 146
125 2 35100.0 29837 385 129
125 2 35129.0 30166 371 124
125 2 35146.0 30175 372 122
125 2 35167.0 30272 374 119
125 2 35280.0 30419 395 108
125 2 35332.0 31329 386 105
125 2 35361.0 30774 379 105
125 2 35483.0 31421 389 106
125 2 35938.0 31707 393 135
125 2 36250.0 32061 425 155
125 2 36250.0 32063 398 155
125 2 36583.0 31825 394 174
125 2 36667.0 32312 402 176
125 2 36928.0 32438 434 170
125 2 37200.0 31944 396 154
125 2 37386.0 32697 478 145
125 2 37415.0 31316 410 144
125 2 37938.0 33033 416 142
125 2 38071.0 32771 386 146
125 2 38168.0 32830 412 148
125 2 38509.0 33384 423 152
125 2 38693.0 33172 494 169
125 2 38951.0 33471 424 196
125 2 39093.0 33751 469 192
125 2 39149.0 33979 405 184
125 2 39210.0 33529 426 173
125 2 39435.0 34294 412 142
125 2 39498.0 34057 437 144
125 2 39579.0 34457 447 151
125 2 39600.0 34539 450 153
125 2 39733.0 34135 439 169
125 2 39780.0 35141 429 174
125 2 39829.0 35230 431 178
125 2 39974.0 34964 461 180
125 2 39999.0 35230 431 179
125 2 40046.0 35321 433 179
125 2 40121.0 34964 461 169
125 2 40201.0 34964 426 160
125 2 40228.0 35695 483 157
125 2 40289.0 35052 427 150
125 2 40376.0 34964 426 140
125 2 40536.0 35888 448 126
125 2 40566.0 35987 450 124
125 2 40570.0 35791 445 123
125 2 40595.0 35407 461 123
125 2 40951.0 35230 431 133
125 2 40990.0 35987 493 135
125 2 41029.0 36290 629 137
125 2 41106.0 35888 448 140
125 2 41186.0 35791 445 143
125 2 41428.0 36822 474 147
125 2 41555.0 37159 536 148
125 2 41680.0 37045 481 147
125 2 41924.0 37941 520 143
125 2 42135.0 37879 567 138
125 2 42135.0 38005 573 138
125 2 42409.0 38669 542 136
125 2 42692.0 39017 556 136
125 2 43018.0 38967 555 151
125 2 43141.0 39702 589 160
125 2 43293.0 40358 624 167
125 2 43335.0 40024 606 167
125 2 43426.0 40531 634 164
125 2 43439.0 41656 690 164
125 2 43556.0 41339 690 161
125 2 43583.0 41073 991 161
125 2 43806.0 40024 606 164
125 2 43853.0 40304 681 168
126 1 14220.0 12548 228 99
126 1 14293.0 12693 232 101
126 1 14351.0 12395 243 102
126 1 14390.0 12486 234 103
126 1 14429.0 12132 234 104
126 1 14491.0 12264 233 106
126 1 14512.0 12217 242 106
126 1 14554.0 12429 247 107
126 1 14619.0 12318 235 109
126 1 14686.0 12086 243 111
126 1 14732.0 12427 232 112
126 1 14802.0 12301 225 114
126 1 15073.0 12445 236 121
126 1 15309.0 12828 234 126
126 1 15445.0 12800 228 139
126 1 15500.0 12915 237 130
126 1 15556.0 13021 235 131
126 1 15783.0 12845 235 134
126 1 15929.0 12685 233 136
126 1 16046.0 12818 234 137
126 1 16135.0 13317 232 138
126 1 16195.0 13439 231 138
126 1 16255.0 13623 238 139
126 1 16315.0 13424 231 139
126 1 16497.0 13511 241 139
126 1 16619.0 13257 241 139
126 1 16862.0 13826 246 139
126 1 17220.0 14357 243 137
126 1 17336.0 13900 247 137
126 1 17645.0 14474 239 135
126 1 17726.0 14643 238 135
126 1 17806.0 14618 234 135
126 1 17936.0 14588 250 135
126 1 18086.0 14955 280 134
126 1 18206.0 15088 312 134
126 1 18412.0 15353 252 133
126 1 18541.0 15164 242 133
126 1 18583.0 15002 274 132
126 1 18781.0 15790 245 131
126 1 18891.0 15748 247 130
126 1 18961.0 15913 258 130
126 1 19012.0 15900 293 129
126 1 19109.0 16086 250 128
126 1 19186.0 15939 246 128
126 1 19273.0 15952 255 127
126 1 19342.0 15939 255 127
126 1 19407.0 15744 266 127
126 1 19471.0 15949 258 128
126 1 19544.0 15735 259 130
126 1 19556.0 15975 269 130
126 1 19629.0 16012 270 132
126 1 19702.0 16108 242 134
126 1 19726.0 16170 258 135
126 1 19775.0 15948 311 137
126 1 19838.0 16206 272 139
126 1 19902.0 16143 254 141
126 1 19982.0 16515 254 143
126 1 20000.0 16859 258 144
126 1 20018.0 16822 258 145
126 1 20037.0 17159 265 145
126 1 20094.0 16883 258 146
126 1 20182.0 16858 258 148
126 1 20273.0 17154 277 150
126 1 20305.0 17139 265 151
126 1 20352.0 16701 253 152
126 1 20385.0 16912 255 152
126 1 20467.0 16654 279 154
126 1 20552.0 17261 274 154
126 1 20710.0 17276 259 155
126 1 20820.0 17241 255 156
126 1 20895.0 17547 275 156
126 1 20971.0 17585 280 155
126 1 21029.0 17650 299 155
126 1 21291.0 18004 268 153
126 1 21374.0 18281 286 152
126 1 21457.0 18335 272 151
126 1 21582.0 18505 296 150
126 1 21685.0 18749 289 148
126 1 21809.0 18253 276 147
126 1 21871.0 18286 276 146
126 1 21912.0 18626 260 145
126 1 22285.0 18415 278 139
126 1 22371.0 18104 273 138
126 1 22594.0 18465 279 134
126 1 22641.0 18861 267 133
126 1 22736.0 18873 309 132
126 1 22761.0 18784 293 131
126 1 22888.0 18899 303 130
126 1 22940.0 18689 273 129
126 1 23049.0 19043 293 128
126 1 23105.0 19562 353 128
126 1 23222.0 19318 283 127
126 1 23281.0 19113 294 127
126 1 23339.0 18942 326 126
126 1 23438.0 18992 282 126
126 1 23635.0 19231 267 126
126 1 23772.0 19340 283 126
126 1 23914.0 19981 320 127
126 1 23986.0 19951 293 128
126 1 24022.0 20092 296 128
126 1 24207.0 20233 299 131
126 1 24320.0 20227 298 133
126 1 24435.0 19913 310 135
126 1 24591.0 20470 317 141
126 1 24630.0 20512 286 141
126 1 24670.0 20289 312 142
126 1 25074.0 20014 301 159
