#set div cal c14 c14sig calsig*
120 1 26184.4 21963 58 192
120 1 26271.1 22186 62 196
120 1 26358.6 22190 62 198
120 1 26358.6 22185 164 198
120 1 26446.9 22655 62 199
120 1 26446.9 22600 58 199
120 1 26536.0 22476 62 198
120 1 26536.0 22306 164 198
120 1 26626.0 22304 55 195
120 1 26717.1 22322 59 191
120 1 26809.3 22507 80 185
120 1 26809.3 22382 63 185
120 1 26902.8 22403 64 178
120 1 26997.6 22860 127 170
120 1 27094.0 22588 73 162
120 1 27094.0 22688 81 162
120 1 27192.0 22897 65 154
120 1 27231.7 23271 156 151
120 1 27292.0 23227 82 146
120 1 27394.5 23259 90 138
120 1 27394.5 23589 127 138
120 1 27500.3 23142 73 130
120 1 27587.5 23914 175 124
120 1 27609.8 23067 82 122
120 1 27723.7 24093 81 115
120 1 27770.7 24040 194 112
120 1 27842.8 23851 146 108
120 1 27967.6 24151 73 103
120 1 28072.1 23989 146 100
120 1 28098.9 24033 99 100
120 1 28236.4 24198 73 100
120 1 28378.2 24344 155 101
120 1 28378.2 24134 108 101
120 1 28522.7 24231 89 103
120 1 28551.7 24276 136 103
120 1 28667.9 24188 80 106
120 1 28812.0 24554 72 111
120 1 28953.3 24524 64 117
120 1 28953.3 24849 146 117
120 1 29090.0 24612 73 126
120 1 29195.2 25390 136 136
120 1 29195.2 25160 73 136
120 1 29346.2 25292 146 154
120 1 29418.9 25372 127 163
120 1 29581.7 25303 146 187
120 1 29626.6 25598 109 194
120 1 29692.7 25375 156 204
120 1 29799.6 25876 215 222
120 1 29861.9 26272 147 232
120 1 29902.8 25875 176 239
120 1 30099.4 26292 186 271
120 1 30099.4 26212 186 271
120 1 30193.4 26499 186 286
120 1 30302.9 26208 148 302
120 1 30495.8 26221 187 327
120 1 30546.9 26074 167 333
120 1 30664.2 26600 95 345
120 1 30680.8 26301 103 347
120 1 30697.3 26332 149 348
120 1 30763.1 26294 187 354
120 1 30812.0 26835 159 357
120 1 30844.5 26666 178 359
120 1 30860.7 26737 178 360
120 1 30957.5 27308 89 364
120 1 31037.9 27539 217 366
120 1 31134.4 27278 124 367
120 1 31231.3 27437 237 365
120 1 31329.0 28175 218 362
120 1 31329.0 27885 100 362
120 1 31461.5 28071 101 354
120 1 31461.5 28231 238 354
120 1 31614.8 28124 191 340
120 1 31614.8 28244 102 340
120 1 31720.2 28319 192 329
120 1 31810.6 28614 221 318
120 1 31866.1 28511 202 311
120 1 32160.1 28369 242 271
120 1 32420.7 28268 196 237
120 1 32513.7 28360 281 228
120 1 32561.5 28866 161 223
120 1 32610.2 27752 234 219
120 1 32634.9 28800 136 218
120 1 32659.8 28558 153 216
120 1 32735.9 28541 179 212
120 1 32735.9 28911 179 212
120 1 32866.3 28901 138 209
120 1 32892.8 28729 189 209
120 1 33000.4 28810 116 210
120 1 33109.6 28811 245 212
120 1 33137.0 29089 138 213
120 1 33247.5 29191 116 218
120 1 33386.2 29380 254 225
120 1 33524.6 29191 138 231
120 1 33661.5 29453 138 236
120 1 33769.4 29456 190 238
120 1 33901.3 29249 123 239
120 1 33901.3 29209 146 239
120 1 34153.2 29688 171 233
120 1 34250.0 29774 180 231
120 1 34484.4 29768 226 230
120 1 34688.5 30264 189 230
120 1 34908.5 30531 189 231
120 1 35015.5 30631 330 232
120 1 35202.3 30721 130 238
120 1 35302.7 30191 190 243
120 1 35302.7 30921 302 243
120 1 35495.0 31482 264 252
120 1 35658.2 31315 201 254
120 1 35898.0 31177 168 246
120 1 36144.1 31491 204 231
120 1 36290.3 31624 278 224
120 1 36454.8 31838 260 221
